"vehicle_type","mfr_name","division","carline","index_(model_type_index)","eng_displ","#_cyl","transmission","city_fe_(guide)_-_conventional_fuel","hwy_fe_(guide)_-_conventional_fuel","comb_fe_(guide)_-_conventional_fuel","air_aspiration_method_desc","trans","trans_desc","#_gears","drive_sys","drive_desc","fuel_usage_desc_-_conventional_fuel","annual_fuel1_cost_-_conventional_fuel","fuel2_epa_calculated_annual_fuel_cost_-_alternative_fuel","carline_class_desc","epa_fe_label_dataset_id","mfr_calculated_gas_guzzler_mpg","$_you_save_over_5_years_(amount_saved_in_fuel_costs_over_5_years_-_on_label)","$_you_spend_over_5_years_(increased_amount_spent_in_fuel_costs_over_5_years_-_on_label)","comb_co2_rounded_adjusted_(as_shown_on_fe_label)","fe_rating_(1-10_rating_on_label)"
"Gas","Honda","Acura","NSX",521,"3.5",6,"Auto(AM-S9)",21,22,21,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",9,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2100,NA,"Two Seaters",30775,29.5,NA,4000,420,4
"Gas","aston martin","Aston Martin Lagonda Ltd","Vantage V8",4,"4",8,"Auto(A8)",18,24,20,"Turbocharged","A","Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2200,NA,"Two Seaters",30745,27,NA,4500,435,4
"Gas","Volkswagen Group of","Audi","R8 Coupe",14,"5.2",10,"Auto(AM-S7)",13,19,15,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2950,NA,"Two Seaters",29377,19.1,NA,8250,572,2
"Gas","Volkswagen Group of","Audi","R8 Coupe RWD",16,"5.2",10,"Auto(AM-S7)",14,23,17,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2600,NA,"Two Seaters",29379,20.7,NA,6500,518,3
"Gas","Volkswagen Group of","Audi","R8 Spyder",15,"5.2",10,"Auto(AM-S7)",13,19,15,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2950,NA,"Two Seaters",29378,19.1,NA,8250,572,2
"Gas","Volkswagen Group of","Audi","R8 Spyder RWD",17,"5.2",10,"Auto(AM-S7)",14,23,17,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2600,NA,"Two Seaters",29380,20.7,NA,6500,518,3
"Gas","Volkswagen Group of","Audi","TT Roadster quattro",36,"2",4,"Auto(AM-S7)",23,30,26,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Regular Unleaded Recommended)",1350,NA,"Two Seaters",29438,33.5,NA,250,346,5
"Gas","BMW","BMW","Z4 M40i",352,"3",6,"Auto(S8)",22,29,25,"Turbocharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",1750,NA,"Two Seaters",29726,32.9,NA,2250,358,5
"Gas","BMW","BMW","Z4 sDrive30i",350,"2",4,"Auto(S8)",25,32,28,"Turbocharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",1600,NA,"Two Seaters",29712,37.9,NA,1500,317,6
"Gas","Volkswagen Group of","Bugatti","Chiron",80,"8",16,"Auto(AM-S7)",9,14,11,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",4000,NA,"Two Seaters",30436,13,NA,13500,840,1
"Gas","Volkswagen Group of","Bugatti","Chiron Pur Sport",82,"8",16,"Auto(AM-S7)",8,11,9,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",4900,NA,"Two Seaters",30183,11.3,NA,18000,979,1
"Gas","Volkswagen Group of","Bugatti","Chiron Super Sport",81,"8",16,"Auto(AM-S7)",8,11,9,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",4900,NA,"Two Seaters",30184,11.3,NA,18000,979,1
"Gas","General Motors","Chevrolet","CORVETTE",47,"6.2",8,"Auto(S8)",16,24,19,"Naturally Aspirated","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2350,NA,"Two Seaters",30127,23.7,NA,5250,478,4
"Gas","Ferrari","Ferrari North America, Inc.","812 Competizione",162,"6.5",12,"Auto(AM7)",12,16,14,"Naturally Aspirated","AM","Automated Manual",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",3150,NA,"Two Seaters",30111,16.9,NA,9250,652,2
"Gas","Ferrari","Ferrari North America, Inc.","812 GTS",161,"6.5",12,"Auto(AM7)",12,15,13,"Naturally Aspirated","AM","Automated Manual",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",3400,NA,"Two Seaters",30071,16.9,NA,10500,665,1
"Gas","Ferrari","Ferrari North America, Inc.","F8 Spider",160,"3.9",8,"Auto(AM7)",15,18,16,"Turbocharged","AM","Automated Manual",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2750,NA,"Two Seaters",30069,20.5,NA,7250,552,3
"Gas","Ferrari","Ferrari North America, Inc.","F8 Tributo",159,"3.9",8,"Auto(AM7)",15,19,16,"Turbocharged","AM","Automated Manual",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2750,NA,"Two Seaters",30112,21,NA,7250,541,3
"Gas","Ford Motor Company","Ford","FORD GT",167,"3.5",6,"Auto(AM7)",12,18,14,"Turbocharged","AM","Automated Manual",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",3150,NA,"Two Seaters",30818,18.1,NA,9250,632,2
"Gas","Jaguar Land Rover L","Jaguar","F-TYPE P450 AWD R-Dynamic Conv",181,"5",8,"Auto(S8)",16,24,18,"Supercharged","SA","Semi-Automatic",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Recommended)",2450,NA,"Two Seaters",29851,24,NA,5750,481,3
"Gas","Jaguar Land Rover L","Jaguar","F-TYPE P450 AWD R-Dynamic Coupe",180,"5",8,"Auto(S8)",16,24,18,"Supercharged","SA","Semi-Automatic",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Recommended)",2450,NA,"Two Seaters",29775,24,NA,5750,481,3
"Gas","Jaguar Land Rover L","Jaguar","F-TYPE P450 RWD Convertible",179,"5",8,"Auto(S8)",17,24,19,"Supercharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2350,NA,"Two Seaters",29730,25.3,NA,5250,460,4
"Gas","Jaguar Land Rover L","Jaguar","F-TYPE P450 RWD Coupe",178,"5",8,"Auto(S8)",17,24,19,"Supercharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2350,NA,"Two Seaters",29731,25.3,NA,5250,460,4
"Gas","Jaguar Land Rover L","Jaguar","F-TYPE R AWD Convertible",175,"5",8,"Auto(S8)",16,24,18,"Supercharged","SA","Semi-Automatic",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Recommended)",2450,NA,"Two Seaters",29475,24,NA,5750,481,3
"Gas","Jaguar Land Rover L","Jaguar","F-TYPE R AWD Coupe",174,"5",8,"Auto(S8)",16,24,18,"Supercharged","SA","Semi-Automatic",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Recommended)",2450,NA,"Two Seaters",29474,24,NA,5750,481,3
"Gas","Volkswagen Group of","Lamborghini","Aventador Countach",91,"6.5",12,"Auto(AM-S7)",9,16,11,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",4000,NA,"Two Seaters",30844,13.8,NA,13500,787,1
"Gas","Volkswagen Group of","Lamborghini","Aventador Coupe",89,"6.5",12,"Auto(AM-S7)",9,16,11,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",4000,NA,"Two Seaters",30747,13.5,NA,13500,802,1
"Gas","Volkswagen Group of","Lamborghini","Aventador Roadster",90,"6.5",12,"Auto(AM-S7)",9,16,11,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",4000,NA,"Two Seaters",30748,13.5,NA,13500,802,1
